,trade_date,portfolio_value
0,2024-11-01T00:00:00.000,2000
1,2024-11-04T00:00:00.000,1997.8715200000004
2,2024-11-05T00:00:00.000,1993.0338622
3,2024-11-06T00:00:00.000,2035.1444189000003
4,2024-11-07T00:00:00.000,2067.9110189000003
5,2024-11-08T00:00:00.000,2187.67500447
6,2024-11-11T00:00:00.000,2174.8195344700007
7,2024-11-12T00:00:00.000,2150.5084144700004
8,2024-11-13T00:00:00.000,2121.6971944700003
9,2024-11-14T00:00:00.000,2095.5971944700004
10,2024-11-15T00:00:00.000,2076.927194470001
11,2024-11-18T00:00:00.000,2099.1745864700006
12,2024-11-19T00:00:00.000,2139.6752864700006
13,2024-11-20T00:00:00.000,2150.6572864700006
14,2024-11-21T00:00:00.000,2198.2152864700006
15,2024-11-22T00:00:00.000,2276.6911516920004
16,2024-11-25T00:00:00.000,2239.9381316920008
17,2024-11-26T00:00:00.000,2234.3314316920005
18,2024-11-27T00:00:00.000,2223.763531692001
19,2024-11-28T00:00:00.000,7.058131692000615
20,2024-11-29T00:00:00.000,2238.2234316920008
21,2024-12-02T00:00:00.000,2201.8538316920003
22,2024-12-03T00:00:00.000,2229.634131692
23,2024-12-04T00:00:00.000,2175.3461316920007
24,2024-12-05T00:00:00.000,2160.5161316920007
