Column,sector,Signal Timestamp,Size,Entry Timestamp,Exit Timestamp,Avg Entry Price,Avg Exit Price,entry_cost,proceeds,PnL,Return [%],Duration,Exit Reason,Day Trade
GGAL,Unknown,2024-11-01,7,2024-11-04,2024-11-05,51.5,50.57,360.8605,353.63601,-7.224490000000003,-2.0020174000756508,1,initial_stop,false
UI,Unknown,2024-11-01,1,2024-11-04,2024-11-05,270.41,270.1278,270.68041,269.8576722,-0.8227378000000272,-0.3039517340763686,1,trailing_stop,false
DOCS,Unknown,2024-11-01,13,2024-11-04,2024-11-08,42.29,46.85,550.31977,608.44095,58.121180000000095,10.561346905636348,4,take_profit,false
RXO,Unknown,2024-11-05,1,2024-11-06,2024-11-08,30.29,28.094430000000003,30.32029,28.066335570000003,-2.253954429999993,-7.433815540682476,2,trailing_stop,false
CAVA,Unknown,2024-11-01,3,2024-11-04,2024-11-11,131.9,147.88,396.0957,443.19636,47.100660000000005,11.891232346122417,7,take_profit,false
MHO,Unknown,2024-11-08,1,2024-11-11,2024-11-13,169.85,154.52,170.01984999999996,154.36548000000002,-15.654369999999943,-9.207377844410493,2,initial_stop,false
GGAL,Unknown,2024-11-05,3,2024-11-06,2024-11-22,52.29,54.970926,157.02686999999997,164.747865222,7.7209952220000275,4.916989826008766,16,trailing_stop,false
