Column,Signal Timestamp,Size,Entry Timestamp,Exit Timestamp,Avg Entry Price,Avg Exit Price,entry_cost,proceeds,PnL,Return [%],Duration,Exit Reason,Day Trade
HTZ,2025-04-21,131,2025-04-22,2025-04-23,7.57,8.9205,992.66167,1167.4169145,174.75524450000012,17.604713648306802,1,trailing_stop,False
SRAD,2025-04-21,41,2025-04-22,2025-04-23,23.97,24.5575,983.7527699999998,1005.8506425,22.09787250000022,2.246283128636084,1,trailing_stop,False
DFDV,2025-04-23,141,2025-04-24,2025-04-25,7.733,7.84605,1091.4433529999997,1105.18675695,13.743403950000356,1.2591953501044806,1,trailing_stop,False
QBTS,2025-04-23,146,2025-04-24,2025-04-25,7.2,7.257999999999999,1052.2512,1058.6083319999998,6.357131999999865,0.6041458541458322,1,trailing_stop,False
DFDV,2025-04-25,144,2025-04-28,2025-04-29,7.671,9.031649999999999,1105.7286239999999,1299.2570423999998,193.52841839999996,17.50234317891728,1,trailing_stop,False
LB,2025-04-25,15,2025-04-28,2025-04-30,71.68,70.737,1076.2752,1059.993945,-16.2812550000001,-1.5127408863458092,2,trailing_stop,False
DFDV,2025-04-29,124,2025-04-30,2025-05-01,9.714,10.336,1205.740536,1280.382336,74.64179999999988,6.190535838466649,1,trailing_stop,False
PPC,2025-04-30,25,2025-05-01,2025-05-02,46.17,44.365,1155.4042499999998,1108.015875,-47.38837499999977,-4.101454101454083,1,trailing_stop,False
DFDV,2025-05-01,99,2025-05-02,2025-05-05,12.14,12.3975,1203.06186,1226.1251475000001,23.063287500000115,1.917049178169461,3,trailing_stop,False
QURE,2025-05-02,69,2025-05-05,2025-05-06,15.97,15.389999999999999,1103.0319299999999,1060.84809,-42.18383999999992,-3.8243534799577317,1,trailing_stop,False
DFDV,2025-05-05,114,2025-05-06,2025-05-07,9.286,9.994,1059.6626039999999,1138.176684,78.51408000000015,7.409347060434723,1,trailing_stop,False
TPR,2025-05-06,16,2025-05-07,2025-05-08,72.95,78.786,1168.3672,1259.3154240000001,90.94822400000021,7.784215784215798,1,take_profit,False
